[2025-07-29 11:02:38] 200 | 71.09ms | ::1 | GET /api/posts | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-29 11:02:51] 401 | 25.8ms | ::1 | POST /api/auth/signin | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-29 11:07:17] 200 | 115.824ms | ::1 | POST /api/auth/signup | UA: PostmanRuntime/7.44.1
[2025-07-29 11:08:03] 404 | 936.7µs | ::1 | GET /api/usersid/1 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:08:11] 200 | 205.4µs | ::1 | GET /api/usersid/17 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:09:10] 404 | 8.1401ms | ::1 | PUT /api/user/1/update | UA: PostmanRuntime/7.44.1
[2025-07-29 11:09:45] 200 | 17.3987ms | ::1 | GET /api/posts | UA: PostmanRuntime/7.44.1
[2025-07-29 11:09:58] 404 | 1.4148ms | ::1 | GET /api/postsid/1 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:10:03] 404 | 998.7µs | ::1 | GET /api/postsid/12 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:10:06] 404 | 477.7µs | ::1 | GET /api/postsid/14 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:10:16] 404 | 1.1382ms | ::1 | GET /api/postsid/168 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:10:20] 404 | 1.5387ms | ::1 | GET /api/postsid/67 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:10:22] 404 | 1.0501ms | ::1 | GET /api/postsid/64 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:10:28] 404 | 1.3308ms | ::1 | GET /api/postsid/65 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:12:11] 200 | 10.313ms | ::1 | GET /api/postsid/2 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:12:35] 200 | 1.7843ms | ::1 | GET /api/posts/2 | UA: PostmanRuntime/7.44.1
[2025-07-29 11:15:16] 200 | 7.0712ms | ::1 | POST /api/posts | UA: PostmanRuntime/7.44.1
[2025-07-29 11:15:45] 200 | 88.9227ms | ::1 | POST /api/auth/signin | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-29 11:15:45] 200 | 1.5071ms | ::1 | GET /api/posts | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-29 11:15:59] 200 | 6.9285ms | ::1 | GET /api/admin/users | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-29 11:16:02] 200 | 5.8626ms | ::1 | GET /api/admin/reports | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-29 11:16:04] 200 | 992.6µs | ::1 | GET /api/admin/users | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-29 11:16:05] 200 | 2.162ms | ::1 | GET /api/posts | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
